기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
KB손해보험,3.64,816점,IM3,-,-,2개,1회,1회,1회,1회,"자동차검사산업기사, 워드프로세서 1급, 워드프로세서 2급, 인터넷정보검색사 2급, 금융자산관리사(FP)"
엘에스엠앤엠,3.73,879점,IM3,IH,-,1.9개,1회,1회,1.5회,1회,"금융자산관리사(FP), 무역영어, 선물거래상담사, 수질환경기사, 일반기계기사"
코리안리재보험(주),3.67,949점,AL,AL,1개,1.5개,1.3회,1.3회,2회,2회,"전기기능사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 3급, 회계관리 1급, AICPA(미국공인회계사)"
한국수력원자력(주),3.69,783점,IH,IH,1.1개,2.3개,1.7회,1.5회,2.1회,1.6회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기사, 정보처리기능사, 전기공사기사"
여천엔씨씨(주),3.79,858점,IL,IH,-,2.6개,1회,1회,1.5회,1.5회,"기계조립기능사, 밀링기능사, 선반기능사, 전기기능사, 공조냉동기계기능사"
한화토탈에너지스(주),3.68,856점,IH,IH,1개,2.3개,1.2회,1회,1회,1.4회,"일반기계기사, 증권투자상담사, 컴퓨터활용능력 1급, 투자자산운용사, 한자자격시험"
㈜한화,3.71,848점,IH,IH,1.1개,2개,1.2회,1.3회,1.6회,2.3회,"사무자동화산업기사, 유통관리사, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기사"
한국남부발전(주),3.65,817점,IM3,IM3,1개,3.1개,1.2회,1.3회,1.6회,1.9회,"정보처리기사, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, 워드프로세서 1급, 전기기능사"
동국제강(주),3.66,838점,IH,IH,1.4개,2.2개,1.2회,1.2회,1.5회,1.6회,"워드프로세서 2급, 컴퓨터활용능력 2급, MOS, 정보기술자격(ITQ)인증시험, 정보처리기능사"
SK가스,3.72,900점,IH,IH,1.5개,2.8개,1회,1회,3.3회,3.3회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기사, 한국사능력검정시험 1급, ICDL(International Computer Driving Licence)"
미래에셋증권㈜,3.58,836점,IM1,IM3,1.3개,2.3개,1.5회,1.1회,1.7회,1.8회,"증권투자상담사, 정보처리기사, 금융자산관리사(FP), 파생상품투자상담사, 워드프로세서 1급"
현대하이스코(주),3.79,791점,IH,IM3,1.1개,2.3개,1.2회,1.3회,2회,1.4회,"워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 워드프로세서 2급"
E1,3.75,894점,AL,AL,-,2.7개,1회,1.1회,4.3회,2.3회,"한국사능력검정시험 1급, 회계관리 2급, GAIQ, ICDL(International Computer Driving Licence), 매경 TEST 우수(600점~800점미만)"
㈜엘엑스인터내셔널,3.77,909점,AL,IH,1.1개,2개,1.5회,1.4회,1.9회,1.9회,"워드프로세서 1급, 전산회계운용사(전산회계사) 2급, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, 컴퓨터활용능력 1급"
제일모직(주),3.64,792점,IM3,IM1,1개,2.3개,1.2회,1.9회,2.3회,1회,"컴퓨터활용능력 2급, 워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 3급, 워드프로세서 2급"
케이조선,3.68,800점,IH,IM2,1개,1.9개,1.1회,1회,1회,1.4회,"일반기계기사, 워드프로세서 1급, 정보처리기능사, 정보처리기사, 워드프로세서 2급"
현대삼호중공업㈜,3.68,769점,IM3,-,1개,2.1개,1.4회,1.1회,1.6회,1.5회,"사무자동화산업기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사, 워드프로세서 2급"
팬오션(주),3.7,880점,IH,AL,1.7개,2.1개,1.5회,1.1회,5.5회,1.8회,"워드프로세서 1급, 사무자동화산업기사, 무역영어, 컴퓨터활용능력 2급, 전기공사기사"
SK에코플랜트㈜,3.64,812점,IH,IH,1.1개,1.9개,1.2회,1.1회,1.5회,1.2회,"토목기사, 건축기사, 워드프로세서 1급, 사무자동화산업기사, 건설안전기사"
오렌지라이프생명보험,3.56,784점,IH,IM3,1.2개,1.9개,1.3회,1.3회,1.3회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기능사, 정보처리기사"
한국동서발전(주),3.63,831점,IH,IM2,1.5개,2.6개,1회,1.2회,1.4회,1.7회,"전기기사, 정보처리기사, 컴퓨터활용능력 2급, 전기공사기사, 한국사능력검정시험 1급"
롯데건설(주),3.66,837점,IH,IH,1.4개,2개,1.4회,1.2회,1.6회,1.2회,"건축기사, 토목기사, 워드프로세서 2급, 산업안전기사, 사무자동화산업기사"
㈜노키아티엠씨,3.7,806점,IH,-,1개,1.9개,1.3회,1회,3회,2회,"워드프로세서 2급, 컴퓨터활용능력 2급, 워드프로세서 1급, 전자기기기능사, 컴퓨터활용능력 3급"
아시아나항공(주),3.67,803점,IH,IM3,1.2개,1.9개,1.2회,1.1회,1.3회,1.3회,"MOS, 워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 컴퓨터활용능력 3급"
하나증권㈜,3.48,835점,IH,AL,1개,3.2개,1.8회,1.4회,1회,1.9회,"증권투자상담사, 증권펀드투자상담사, 컴퓨터활용능력 2급, 파생상품투자상담사, MOS"
CJ제일제당(주),3.65,839점,IH,IM3,1.2개,2.1개,1.1회,1.2회,1.8회,2회,"식품기사, 위생사, 유통관리사, 정보처리기사, 한국사능력검정시험 1급"
한국남동발전(주),3.45,830점,IH,IH,1개,3.1개,1.4회,1.3회,1.4회,1.8회,"전기기능사, 한국사능력검정시험 1급, 컴퓨터활용능력 2급, 전기기사, 사무자동화산업기사"
한국서부발전(주),3.58,800점,IH,IH,1개,2.4개,1.2회,1.3회,1.4회,1.6회,"전기기능사, 사무자동화산업기사, 컴퓨터활용능력 2급, 한국사능력검정시험 1급, MOS"
한국투자증권(주),3.59,816점,IM3,IH,1.1개,2.6개,1.2회,1.5회,2.8회,2.7회,"증권투자상담사, 워드프로세서 1급, 증권펀드투자상담사, 컴퓨터활용능력 2급, 파생상품투자상담사"
한국중부발전(주),3.67,817점,IM3,IM3,1개,2.9개,1.1회,1회,1.2회,1.6회,"사무자동화산업기사, 일반기계기사, 한국사능력검정시험 1급, 공조냉동기계기사, 밀링기능사"
(주)현대미포조선,3.65,788점,AL,-,1개,1.8개,1.3회,1.2회,1.6회,1.2회,"전기용접기능사, 정보기기운용기능사, 컴퓨터활용능력 2급, 정보처리기사, 워드프로세서 1급"
신한카드(주),3.66,805점,IM3,IM3,1.1개,2개,1.1회,1.2회,1.9회,2.4회,"워드프로세서 2급, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급"
GS리테일,3.6,824점,IH,IH,1.3개,2.2개,1.3회,1.2회,1.5회,1.8회,"유통관리사, 정보처리기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급"
르노삼성자동차㈜,3.55,802점,AL,IH,1.2개,2개,1.2회,1.5회,1.7회,1.4회,"워드프로세서 2급, 자동차정비기능사, 정보기기운용기능사, 워드프로세서 1급, 정보처리기능사"
삼성모바일디스플레이(주),3.74,787점,IH,IM3,1.4개,2.1개,1.4회,1.7회,2.3회,1회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, 정보기기운용기능사, 정보처리기능사"
삼성SDI(주),3.71,805점,IH,IM3,1.2개,2개,1.3회,1.2회,1.8회,1.7회,"워드프로세서 1급, 정보기기운용기능사, 전자기기기능사, 한자 자격 시험, MOS"
메리츠화재해상보험㈜,3.64,798점,IH,IM1,1개,2.1개,1.2회,1.4회,1.7회,1.6회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 워드프로세서 2급, MOS"
삼성엔지니어링,3.6,856점,IH,IM3,1.1개,2개,1.3회,1.3회,1.8회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 정보처리기능사, MOS"
(주)에이치제이중공업,3.66,830점,IM3,IM3,1개,1.8개,1.2회,1.7회,2.2회,1.8회,"건축기사, MOS, 정보처리기사, OCJP-Oracle, 컴퓨터활용능력 3급"
삼성광주전자㈜광주1공장,3.38,857점,-,-,1개,2.3개,1.6회,4회,2회,1회,"워드프로세서 2급, 정보처리기능사, 문서실무 2급, 사무자동화산업기사, 컴퓨터그래픽스운용기능사"
삼성전기(주),3.69,833점,IM3,IM2,1.3개,2.1개,1.2회,1.1회,1.5회,2회,"정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 1급"
비씨카드(주),3.62,816점,IH,IM2,1개,2.1개,1.1회,1.3회,1.8회,1.9회,"워드프로세서 2급, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사, MOS"
현대위아(주),3.69,841점,IH,IM3,1.2개,1.9개,1.2회,1.2회,1.6회,1.4회,"컴퓨터활용능력 2급, 워드프로세서 1급, 일반기계기사, 정보처리기능사, 정보기기운용기능사"
엘에스전선㈜,3.57,822점,IH,IM3,1.2개,2개,1.2회,1.1회,1.3회,1.9회,"워드프로세서 2급, 정보처리기능사, 정보기기운용기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
(주)부산은행,3.74,822점,AL,IH,1.1개,2.3개,1회,1회,1.3회,1.5회,"컴퓨터활용능력 2급, 워드프로세서 2급, 워드프로세서 1급, 정보처리기능사, 정보처리기사"
한화솔루션㈜,3.65,852점,IH,IM3,1.6개,1.7개,1.3회,1.2회,1.3회,1.3회,"컴퓨터활용능력 2급, 정보기기운용기능사, AICPA(미국공인회계사), 워드프로세서 1급, 정보처리기능사"
현대캐피탈,3.59,748점,IM3,IM2,1.1개,2개,1.2회,1.6회,1.5회,1.9회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사"
신한라이프,3.66,769점,IH,IM2,1.2개,2개,1.1회,1.4회,2회,1.7회,"워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 정보처리기능사"
케이비증권㈜,3.74,829점,IH,IM3,1개,2개,1.2회,1회,2회,1.5회,"사무자동화산업기사, 정보처리기사, 증권투자상담사, 증권펀드투자상담사, 컴퓨터그래픽스운용기능사"
동양생명보험(주),3.57,698점,IH,IM1,1.1개,1.9개,1.2회,1.3회,1.6회,2회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 컴퓨터활용능력 3급"
(주)대구은행,3.65,811점,IH,IM3,1.2개,2.3개,1.1회,1.1회,1.7회,1.7회,"컴퓨터활용능력 2급, 워드프로세서 1급, 정보기술자격(ITQ)인증시험, 정보처리기사, MOS"
에이비엘생명보험㈜,3.59,800점,AL,IM1,1.5개,2.1개,1.2회,1.1회,1.9회,1.4회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 컴퓨터활용능력 3급"
대신증권(주),3.61,831점,IH,IM2,1.2개,2.3개,1.2회,1.3회,1.4회,1.8회,"증권투자상담사, 정보처리기사, 컴퓨터활용능력 2급, 파생상품투자상담사, MOS"
한국타이어앤테크놀로지(주),3.67,836점,IH,IM3,1.3개,2.1개,1.1회,1.3회,2.2회,1.7회,"컴퓨터활용능력 2급, 유통관리사, 워드프로세서 2급, 한자 자격 시험, 한자급수자격시험"
금호석유화학(주),3.72,825점,IH,IH,1.3개,2.1개,1.1회,1.1회,1.7회,1.5회,"전기기사, 정보기기운용기능사, 워드프로세서 2급, 전기공사기사, 컴퓨터활용능력 3급"
(주)케이티앤지,3.71,833점,IH,IM3,1개,2.1개,1.3회,1.3회,2.3회,1.4회,"워드프로세서 2급, 사무자동화산업기사, 컴퓨터활용능력 3급, 유통관리사, 워드프로세서 1급"
현대로템(주),3.63,785점,IH,IM2,1.2개,2.2개,1.4회,1.2회,1.4회,1.4회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험, 워드프로세서 2급, MOS"
삼성카드(주),3.63,812점,IM3,IM2,1.1개,2.1개,1.2회,1.5회,1.8회,1.7회,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사"
흥국생명보험,3.61,766점,IM2,IM1,1.2개,2.2개,1.1회,1.3회,1.5회,1.7회,"워드프로세서 1급, 컴퓨터활용능력 3급, 워드프로세서 2급, 정보기기운용기능사, 워드프로세서 3급"
대우자동차판매㈜,3.49,757점,IM2,IM1,1.2개,2개,1.3회,1회,1회,1회,"워드프로세서 1급, 정보처리기능사, 컴퓨터활용능력 2급, 워드프로세서 2급, 컴퓨터활용능력 3급"
KCC,3.69,840점,IM3,IH,1.4개,2.1개,1.3회,1.2회,1.3회,1.4회,"정보처리기사, 전기공사기사, 전기산업기사, 사무자동화산업기사, 화공기사"
롯데하이마트(주),3.6,814점,IH,IH,1.3개,2개,1.5회,1.3회,1.4회,1.9회,"정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 2급, 정보처리기능사, 워드프로세서 1급"
(주)대림,3.7,881점,IH,IM3,1개,2.2개,1.2회,1회,2회,1.4회,"MOS, 워드프로세서 2급, 정보처리산업기사, 증권펀드투자상담사, 컴퓨터그래픽스운용기능사"
현대두산인프라코어,3.63,804점,IH,IM2,1.2개,2.2개,1.2회,1.2회,1.5회,1.3회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급"
한화에어로스페이스㈜,3.61,816점,IM3,IM2,1.4개,2.2개,1.2회,1.1회,1.4회,1.2회,"워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, 정보기기운용기능사, 컴퓨터활용능력 3급"
케이지스틸㈜,3.59,805점,IH,IM2,1.1개,1.9개,1.7회,1.1회,1.9회,1.2회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 특수용접기능사, 정보처리기사"
현대코퍼레이션(주),3.71,859점,IH,IH,1.3개,1.7개,1.5회,1.4회,1.3회,1.3회,"워드프로세서 1급, 한자능력검정, 컴퓨터활용능력 1급, 정보기술자격(ITQ)인증시험, 정보처리기사"
㈜D&O,3.63,806점,IH,IM2,1.1개,2.2개,1.3회,1.3회,1.5회,2회,"전기기사, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 워드프로세서 2급"
고려아연(주),3.52,801점,IH,IM3,1개,2.2개,1.2회,2.3회,1.7회,1.7회,"워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 3급, 한자능력검정, 워드프로세서 2급"
미래에셋생명보험,3.55,838점,IH,IM3,1개,2.1개,1.1회,1.8회,1.4회,1.4회,"워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 2급, 유통관리사, 워드프로세서 2급"
삼성에스디에스,3.65,818점,IH,IM3,1.1개,2개,1.1회,1.1회,1.7회,1.5회,"정보처리기사, 워드프로세서 1급, 워드프로세서 2급, 컴퓨터활용능력 2급, MOS"
금호건설㈜,3.61,845점,IH,IH,1개,1.9개,1.4회,1회,1.5회,1.8회,"건축기사, 건설안전기사, 워드프로세서 1급, 자동차정비산업기사, 한국사능력검정시험 1급"
㈜한화건설,3.52,812점,IH,IM2,1개,2개,1.3회,1.2회,2.3회,1.5회,"건축기사, 워드프로세서 2급, MOS, 정보기기운용기능사, 정보처리기능사"
두산건설(주),3.65,807점,IH,IM3,1개,2.2개,1회,1.3회,1.4회,1.6회,"건축기사, 토목기사, 건설안전기사, 사무자동화산업기사, 전산응용건축제도기능사"
삼천리,3.68,838점,-,-,1개,2.2개,1.3회,1회,1.3회,1회,"전기기사, 가스기능사, 유통관리사, 전기공사기사, 전기기능사"
삼성증권,3.69,846점,IM3,IM3,1.2개,2.3개,1.1회,1.3회,1.8회,1.4회,"증권투자상담사, 워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 파생상품투자상담사"
동부건설(주),3.6,815점,IH,IM3,1.3개,2.3개,1.1회,1회,3.6회,1.8회,"건축기사, 건설안전기사, 워드프로세서 1급, 워드프로세서 2급, 워드프로세서 3급"
대한해운,3.64,853점,AL,IM3,1개,2.4개,1회,-,1.5회,1회,"컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계 1급, 무역영어, 전산회계 2급"
대한전선㈜,3.58,806점,AL,IM2,1개,2.1개,1.3회,1.5회,1.5회,1.8회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 전기공사기사, 워드프로세서 2급"
LG 이노텍,3.68,809점,IM3,IM3,1.1개,1.9개,1.1회,1회,1.5회,1.2회,"정보처리기사, 정보기기운용기능사, 워드프로세서 1급, 컴퓨터활용능력 3급, 워드프로세서 2급"
(주)코오롱,3.71,843점,IM3,IH,1.1개,1.9개,1.4회,1.3회,2.3회,1.3회,"워드프로세서 2급, 컴퓨터활용능력 3급, 정보처리기능사, MOS, 워드프로세서 1급"
한국바스프(주),3.6,811점,AL,IH,1.4개,2.2개,1.4회,1.6회,1.4회,1.5회,"MOS, 워드프로세서 1급, 워드프로세서 2급, MOUS, 자동차정비기능사"
